Merk,Uitvoering,Type,Datum eerste toelating
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,Benzine,
AUDI,QE1QE1G1Z05RT021B210GAAEM0FLC,Benzine,20250508.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FLS,Benzine,20250516.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FSS,Benzine,20250515.0
VOLKSWAGEN,OPE1MP001SA,Benzine,20250904.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,Benzine,20250423.0
AUDI,QE1QE1G1Z05RT011A200GAAEM0FLC,Benzine,20250513.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,Benzine,20250513.0
VOLKSWAGEN,BPE1MH00200A,Benzine,20250515.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,Benzine,20250516.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250516.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,Benzine,20250904.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FLS,Benzine,20250516.0
AUDI,QE1QE1G1Z08RT021A200GAAEM0,Benzine,20250514.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,Benzine,20250516.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,Benzine,20250904.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,Benzine,20250506.0
BMW,0AA50000,Benzine,20250516.0
MERCEDES-BENZ,ZZAM05IA,Benzine,20250516.0
VOLKSWAGEN,QPE1MH002P0A,Benzine,20250905.0
VOLKSWAGEN,DPE1MH002P0A,Diesel,20250514.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,Benzine,20250515.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,Benzine,20250512.0
AUDI,QE1QE1G1Z05RT051B210GAAEM0FLC,Benzine,20250516.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250503.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FLS,Benzine,20250516.0
PORSCHE,1141000,Benzine,20221028.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250501.0
AUDI,HE1HE1G1Z02RT011A180GAAEM0FSC,Benzine,20250513.0
VOLKSWAGEN,APE1MP001BA,Benzine,20250519.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,Benzine,20250512.0
OPEL,ZYAZ-E0D000,Benzine,20250507.0
VOLKSWAGEN,OPE1MP001SA,Benzine,20250515.0
VOLKSWAGEN,C0O51AA,Benzine,20201127.0
PORSCHE,2500000,Benzine,20250515.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FSC,Benzine,20250506.0
VOLKSWAGEN,OPE1MP001SA,Benzine,20250516.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,Benzine,20250514.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250512.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250515.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250514.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200227.0
BMW,0AW50900,Benzine,20250513.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250430.0
PORSCHE,1151000,Benzine,20220429.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FSS,Benzine,20250516.0
MERCEDES-BENZ,,Benzine,19600228.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250514.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,Benzine,20250514.0
OPEL,ZKXZ-40B000,Benzine,20211207.0
AUDI,QE1QE1G1Z01RT31B200GAAEM1,Benzine,20211230.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,Benzine,20250514.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1O,Benzine,20211222.0
AUDI,HE1HE1G1Z02RT011A180GAAEM0FSC,Benzine,20250516.0
BMW I,0AW40000,Elektrisch,20211215.0
OPEL,ZKXZ-X0C000,Benzine,20211224.0
AUDI,HE1HE1G1Z02RT061B200GAAEM0FSC,Benzine,20250521.0
VOLKSWAGEN,OPE1MH0020M1ALA,Benzine,20211230.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,Benzine,20250519.0
VOLKSWAGEN,OPE1MP001SA,Benzine,20250514.0
AUDI,QE1QE1G1Z01RT11B210GAAEM1,Benzine,20211229.0
VOLKSWAGEN,BPE1MH0020O1ANA,Benzine,20211029.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,Benzine,20211230.0
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20211008.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,Benzine,20211229.0
MERCEDES-BENZ,ZZAL050B,Benzine,20211111.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20211027.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20211110.0
MERCEDES-BENZ,ZZAB050A,Benzine,20250516.0
BMW,0AW5000S,Benzine,20211231.0
BMW,0AL5A000,Benzine,20250510.0
BMW,0AB50800,Benzine,20250508.0
OPEL,ZKXZ-Y0L000,Benzine,20250515.0
VOLKSWAGEN,C0O51AA,Benzine,20200811.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190607.0
AUDI,QE1QE1G1Z02RT61C210GAAEM0,Benzine,20210628.0
OPEL,ZYAZ-E0D000,Benzine,20250516.0
MERCEDES-BENZ,ZZAA05BA,Benzine,20250509.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250523.0
BMW,0AL5A000,Benzine,20250515.0
MERCEDES-BENZ,ZZAL050C,Benzine,20211230.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1O,Benzine,20211230.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,Benzine,20220107.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,Benzine,20250509.0
BMW,0AB50000,Benzine,20250516.0
OPEL,ZKWZ-Y0R000,Benzine,20250508.0
VOLKSWAGEN,BPE1MH00200A,Benzine,20250905.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML02VR0N0,Benzine,20190506.0
