Merk,Uitvoering,Type,Datum eerste toelating
BMW I,0A140000,Elektrisch,20161208.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200909.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20200721.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201112.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200718.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20200213.0
PORSCHE,1051000,Benzine,20201110.0
MERCEDES-BENZ,ZZAAA53A,Benzine,20230105.0
VOLKSWAGEN,OPE1MP001SA,Benzine,20250822.0
AUDI,,Benzine,20181128.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200629.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW63,Elektrisch,20170221.0
PORSCHE,1051000,Benzine,20200709.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200721.0
BMW I,0AW40000,Elektrisch,20190108.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200116.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B15O,Elektrisch,20200117.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0U,Benzine,20201113.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20201116.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20151210.0
OPEL,ZKXZ-X0A000,Benzine,20201021.0
BMW I,0AW4000S,Elektrisch,20200803.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20201003.0
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20210923.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201005.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20200319.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20211018.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FLS,Benzine,20250906.0
BMW,0AW5000A,Benzine,20211213.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201026.0
BMW I,0AW40000,Elektrisch,20201012.0
BMW I,0AW40000,Elektrisch,20201113.0
BMW I,0AW40000,Elektrisch,20200805.0
BMW,,Benzine,19890208.0
BMW I,0AW4000S,Elektrisch,20200805.0
VOLKSWAGEN,,Benzine,20171205.0
BMW I,0AW40000,Elektrisch,20180509.0
VOLKSWAGEN,D0O1ASA,Diesel,20210730.0
AUDI,QE1QE1G1Z01RT31A190GAAEM0,Benzine,20201230.0
AUDI,QE1QE1G1Z01RT31A190GAAEM0,Benzine,20200925.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200717.0
OPEL,A1EA5AA1,Benzine,20200717.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200729.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200929.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201027.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0U,Benzine,20201102.0
OPEL,ZKXZ-40B000,Benzine,20210630.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201029.0
MERCEDES-BENZ,ZZAC050A,Benzine,20201009.0
BMW I,0A140000,Elektrisch,20170127.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200925.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201022.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20200914.0
PORSCHE,1041000,Benzine,20211227.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190812.0
MERCEDES-BENZ,ZZAA050E,Benzine,20210826.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190328.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200707.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200901.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20160511.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200725.0
BMW I,0AW40000,Elektrisch,20200808.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200901.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200121.0
PORSCHE,1041000,Benzine,20200810.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20241023.0
BMW I,0A040000,Elektrisch,20171122.0
BMW I,0AW40000,Elektrisch,20190123.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200929.0
OPEL,ZKWZ-Y0L000,Benzine,20250828.0
MERCEDES-BENZ,ZZAA050A,Benzine,20200903.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201001.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200701.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20241021.0
BMW I,0AW40000,Elektrisch,20200713.0
MERCEDES-BENZ,ZZAC050A,Benzine,20200929.0
AUDI,QE2QE2G1X02RT051C210GAAEM0FL,Benzine,20250909.0
BMW I,0AW40000,Elektrisch,20200723.0
VOLKSWAGEN,C0O51AA,Benzine,20220509.0
MERCEDES-BENZ,ZZAC050A,Benzine,20200710.0
AUDI,QE1QE1G1Z01RT31A190GAAEM0,Benzine,20200901.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201030.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201113.0
BMW I,0AW40000,Elektrisch,20200702.0
BMW I,0AW40000,Elektrisch,20190617.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201127.0
BMW I,0AW40000,Elektrisch,20200701.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200723.0
AUDI,QE1QE1G1Z01RT31A190GAAEM0,Benzine,20200929.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200730.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200210.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200716.0
BMW I,0AW4000S,Elektrisch,20200729.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201005.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20241031.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200724.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20150624.0
VOLKSWAGEN,BPE1MH00200A,Benzine,20250908.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200723.0
BMW I,0AW4000S,Elektrisch,20200731.0
OPEL,ZKWZ-Y0L000,Benzine,20250908.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200912.0
OPEL,ZKXZ-X0A000,Benzine,20200905.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20201016.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200826.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0U,Benzine,20201016.0
BMW,0AH5A800,Benzine,20250904.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B15O,Elektrisch,20200225.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200824.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200822.0
PORSCHE,1051000,Benzine,20200615.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20200821.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201006.0
BMW,0AW5000A,Benzine,20211102.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201016.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200715.0
BMW I,0AW4000S,Elektrisch,20200804.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250903.0
AUDI,QE1QE1G1Z01RT31A190GAAEM0U,Benzine,20201121.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20200908.0
MERCEDES-BENZ,ZZAC050A,Benzine,20200928.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20240614.0
PORSCHE,1051000,Benzine,20200704.0
BMW,0AB50000,Benzine,20250904.0
BMW I,0A140000,Elektrisch,20171110.0
MERCEDES-BENZ,ZZAC050A,Benzine,20200715.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201029.0
OPEL,ZKXZ-X0A000,Benzine,20200311.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200826.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0U,Benzine,20201022.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20191112.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200713.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200928.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200727.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20150219.0
BMW I,0AW4000S,Elektrisch,20201105.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20200723.0
MERCEDES-BENZ,1ZAA050A,Benzine,20250909.0
PORSCHE,1041000,Benzine,20200911.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20201224.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20200928.0
BMW I,0AW4000S,Elektrisch,20201016.0
PORSCHE,1041000,Benzine,20200915.0
BMW I,0AW40000,Elektrisch,20201029.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20210817.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200831.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20201104.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20201107.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200723.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,Benzine,20250906.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200831.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200831.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200710.0
BMW I,0AW4000S,Elektrisch,20200722.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200821.0
BMW,0AA50800,Benzine,20250904.0
VOLKSWAGEN,OPE1MP001SA,Benzine,20250830.0
OPEL,ZYAZ-E0D000,Benzine,20250829.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B15O,Elektrisch,20200109.0
BMW,0AW5A70B,Benzine,20250909.0
BMW I,0A040000,Elektrisch,20150209.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201023.0
MERCEDES-BENZ,ZZAA050A,Benzine,20200704.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200317.0
MERCEDES-BENZ,ZZAC050A,Benzine,20200703.0
MERCEDES-BENZ,ZZAAA53A,Benzine,20220804.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200130.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200720.0
MERCEDES-BENZ,ZZAC050A,Benzine,20191212.0
BMW I,0AW40000,Elektrisch,20201015.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250908.0
PORSCHE,1040000,Benzine,20200708.0
BMW,0AA5A000,Benzine,20250829.0
MERCEDES-BENZ,ZZAA05IA,Benzine,20250909.0
PORSCHE,1051000,Benzine,20200829.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200717.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20200205.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20201002.0
PORSCHE,1050000,Benzine,20201030.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190125.0
BMW I,0A140000,Elektrisch,20161228.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200910.0
AUDI,QE1QE1G1Z02RT21C210GAAEM0V,Benzine,20201013.0
BMW I,0AW40000,Elektrisch,20180419.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20190918.0
VOLKSWAGEN,BPE1MH00200A,Benzine,20250909.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250909.0
PORSCHE,1051000,Benzine,20200911.0
BMW I,0AW4000S,Elektrisch,20200929.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20201102.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20191011.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200720.0
AUDI,QE1QE1G1Z01RT11C210GAAEM0,Benzine,20200717.0
BMW I,0AW40000,Elektrisch,20201005.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20150702.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20201001.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201104.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201009.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250909.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250908.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20200826.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20190826.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20191204.0
PORSCHE,2500000,Benzine,20250908.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200616.0
PORSCHE,1051000,Benzine,20200515.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N0,Benzine,20190709.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201014.0
OPEL,ZKXZ-X0A000,Benzine,20200805.0
BMW,0AB50000,Benzine,20241106.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200724.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201111.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201111.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200703.0
PORSCHE,1051000,Benzine,20200718.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200723.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20181220.0
AUDI,QE1QE1G1Z01RT11C210GAAEM0U,Benzine,20201114.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW63,Elektrisch,20180801.0
PORSCHE,1050000,Benzine,20200827.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20200717.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201204.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200514.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20190418.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20160427.0
OPEL,,Benzine,20240118.0
OPEL,ZKXZ-X0A000,Benzine,20200916.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201002.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0U,Benzine,20201124.0
AUDI,QE2QE2G1X01RT031B210GAAEM0FL,Benzine,20211001.0
VOLKSWAGEN,DPE1MH002PA,Diesel,20241122.0
PORSCHE,1051000,Benzine,20200701.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20150119.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20191016.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20200803.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200926.0
MERCEDES-BENZ,3EER0XX9XXXX,Benzine,20200819.0
BMW I,0AW40000,Elektrisch,20190215.0
PORSCHE,1051000,Benzine,20200228.0
BMW I,0AW4000S,Elektrisch,20200814.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20201009.0
VOLKSWAGEN,D0M1ASA,Diesel,20210629.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20200106.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190227.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW63,Elektrisch,20150928.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20181210.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190624.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20151102.0
BMW I,0A240000,Elektrisch,20170316.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200926.0
BMW I,0AW40000,Elektrisch,20181002.0
MERCEDES-BENZ,ZZAC050A,Benzine,20200724.0
PORSCHE,1051000,Benzine,20200910.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0U,Benzine,20200925.0
MERCEDES-BENZ,ZZAA050A,Benzine,20250909.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20210929.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200923.0
AUDI,QE1QE1G1Z02RT41C210GAAEM0V,Benzine,20201106.0
BMW I,0AW4000S,Elektrisch,20200824.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N0,Benzine,20181008.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200818.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200818.0
AUDI,QE1QE1G1Z01RT11C210GAAEM0,Benzine,20200730.0
OPEL,A1EA5AA1,Benzine,20180130.0
BMW,0AW5000S,Benzine,20211223.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0U,Benzine,20201023.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20201113.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201106.0
VOLKSWAGEN,A0O51AA,Benzine,20211022.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190910.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20241112.0
OPEL,ZKXZ-X0A000,Benzine,20200904.0
BMW I,0AW40000,Elektrisch,20191002.0
AUDI,QE1QE1G1Z02RT21C210GAAEM0V,Benzine,20201106.0
BMW I,0AW40000,Elektrisch,20190410.0
BMW I,0AW4000S,Elektrisch,20210813.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0U,Benzine,20200930.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20160404.0
PORSCHE,1041000,Benzine,20200806.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML02VR0N0,Benzine,20190816.0
BMW I,0AW4000S,Elektrisch,20201008.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,Benzine,20241121.0
MERCEDES-BENZ,3EDE0XX8XXXX,Benzine,20211104.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20211211.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200930.0
BMW I,0AW40000,Elektrisch,20200910.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201010.0
VOLKSWAGEN,C0O51AA,Benzine,20210828.0
VOLKSWAGEN,D0O51AA,Diesel,20220412.0
VOLKSWAGEN,A0O51AA,Benzine,20210929.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201126.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200427.0
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20211220.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0U,Benzine,20201127.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20190731.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N0,Benzine,20190703.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200825.0
BMW I,0AW40000,Elektrisch,20200921.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20200911.0
BMW I,0AW4000S,Elektrisch,20200924.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200706.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200730.0
PORSCHE,1051000,Benzine,20201003.0
MERCEDES-BENZ,3EER0XX9XXXX,Benzine,20200709.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0M,Benzine,20211213.0
MERCEDES-BENZ,ZZAC050A,Benzine,20201006.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201123.0
VOLKSWAGEN,FA1FA1CZ003E0GAON1ML01VR0,Benzine,20161123.0
AUDI,QE2QE2G1X01RT021B210GAAEM0FL,Benzine,20210802.0
AUDI,HE1HE1G1Z01RT011A210GAAEM1,Benzine,20220517.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200721.0
BMW I,0AW4000S,Elektrisch,20221212.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20200820.0
MERCEDES-BENZ,,Benzine,20180524.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20210920.0
PORSCHE,1050000,Benzine,20200818.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200813.0
BMW,0AW5000S,Benzine,20210827.0
BMW,0AA50900,Benzine,20230405.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200507.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20201022.0
PORSCHE,1051000,Benzine,20200813.0
MERCEDES-BENZ,ZZAA05BA,Benzine,20250917.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,Benzine,20180307.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N0,Benzine,20181018.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20201027.0
PORSCHE,1051000,Benzine,20200923.0
PORSCHE,1041000,Benzine,20200923.0
VOLKSWAGEN,C0O51AA,Benzine,20210504.0
PORSCHE,2500000,Benzine,20250927.0
MERCEDES-BENZ,ZZAA050B,Benzine,20230425.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201107.0
MERCEDES-BENZ,ZZAAA70A,Benzine,20250922.0
VW,FA1FA1MD001E0GAON1ML01VR0N0,Benzine,20181119.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20201016.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201127.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0U,Benzine,20201111.0
BMW I,0AW40000,Elektrisch,20201104.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20200206.0
OPEL,ZKXZ-40L000,Benzine,20230424.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200225.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20201023.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20201002.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201125.0
OPEL,ZKXZ-X0A000,Benzine,20201103.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0U,Benzine,20201123.0
MERCEDES-BENZ,1ZAA050A,Benzine,20250922.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200720.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20190814.0
BMW I,0AW4000S,Elektrisch,20190328.0
MERCEDES-BENZ,1ZAA050A,Benzine,20250918.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200704.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200814.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20201026.0
VOLKSWAGEN,C051AA,Benzine,20230223.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0U,Benzine,20201024.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200916.0
AUDI,QE1QE1G1Z01RT11A190GAAEM0,Benzine,20201117.0
OPEL,ZKXZ-40J000,Benzine,20230331.0
BMW I,0A140000,Elektrisch,20170331.0
BMW,0AW5A000,Benzine,20250918.0
PORSCHE,1050000,Benzine,20200731.0
BMW I,0A140000,Elektrisch,20170627.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20201026.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200828.0
BMW I,0AW40000,Elektrisch,20201119.0
BMW I,0AW40000,Elektrisch,20201117.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200716.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20191007.0
MERCEDES-BENZ,ZZBCB501,Benzine,20150709.0
AUDI,QE1QE1G1Z01RT31C210GAAEM0,Benzine,20201031.0
AUDI,QE1QE1G1Z01RT11C210GABEM0U,Benzine,20201106.0
BMW I,0AW4000S,Elektrisch,20201130.0
VOLKSWAGEN,DPE1MH002P0A,Diesel,20250909.0
VW,FA1FA1MD001E0GAON1ML01VR0N0,Benzine,20181029.0
AUDI,QE1QE1G1Z01RT31A190GAAEM0,Benzine,20200824.0
BMW I,0A140000,Elektrisch,20170224.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200908.0
PORSCHE,1041000,Benzine,20201027.0
AUDI,QE1QE1G1Z01RT31B200GAAEM0,Benzine,20200707.0
BMW,0AW5A700,Benzine,20250909.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,Benzine,20210708.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20201106.0
OPEL,A1EA5AA1,Benzine,20180330.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200911.0
AUDI,QE2QE2G1X01RT031B210GAAEM0FL,Benzine,20210914.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20200207.0
OPEL,ZKXZ-X0A000,Benzine,20200214.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190509.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200916.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20200129.0
BMW I,0A140000,Elektrisch,20170306.0
MERCEDES-BENZ,2EDE0XX8XXXX,Benzine,20201204.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201103.0
MERCEDES-BENZ,2EDE0XX7XXXX,Benzine,20201113.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20200224.0
VOLKSWAGEN,,Benzine,20250515.0
